v -0.012590 -0.082367 -0.011139
v -0.009650 -0.083447 -0.012359
v -0.011807 -0.082559 -0.013305
v -0.011402 -0.083349 -0.011231
v -0.012478 -0.082277 -0.011794
v -0.011574 -0.083116 -0.010194
v -0.011135 -0.083232 -0.013201
v -0.012577 -0.082268 -0.011475
v -0.009877 -0.083242 -0.012827
v -0.012235 -0.082355 -0.012557
v -0.010178 -0.083640 -0.011974
v -0.012345 -0.082834 -0.010393
v -0.010731 -0.083226 -0.011049
v -0.009783 -0.083295 -0.012683
v -0.012527 -0.082271 -0.011634
v -0.010291 -0.083331 -0.013038
v -0.011547 -0.082894 -0.013256
v -0.012089 -0.082393 -0.012831
v -0.012429 -0.082291 -0.011957
v -0.012557 -0.082510 -0.010870
v -0.011447 -0.083308 -0.010845
v -0.010381 -0.083646 -0.012358
v -0.011541 -0.083253 -0.011362
v -0.010832 -0.083224 -0.010893
v -0.009693 -0.083380 -0.012497
v -0.009738 -0.083337 -0.012589
v -0.010599 -0.083373 -0.013121
v -0.009979 -0.083250 -0.012888
v -0.011722 -0.082686 -0.013294
v -0.011275 -0.083142 -0.013227
v -0.011946 -0.082463 -0.013063
v -0.012186 -0.082363 -0.012665
v -0.012519 -0.082611 -0.010692
v -0.011380 -0.083177 -0.010368
v -0.012069 -0.083039 -0.010242
v -0.011401 -0.083340 -0.011334
v -0.010333 -0.083667 -0.012151
v -0.010272 -0.083584 -0.012544
v -0.012586 -0.082337 -0.011235
v -0.009713 -0.083541 -0.011863
v -0.010564 -0.083498 -0.012792
v -0.010135 -0.083291 -0.012964
v -0.011635 -0.082797 -0.013278
v -0.012434 -0.082733 -0.010520
v -0.011495 -0.083290 -0.011320
v -0.010229 -0.083644 -0.011978
v -0.011493 -0.083274 -0.010728
v -0.011497 -0.083305 -0.010899
v -0.011973 -0.083077 -0.010198
v -0.011401 -0.083345 -0.011283
v -0.010428 -0.083622 -0.012405
v -0.010382 -0.083653 -0.012255
v -0.010232 -0.083668 -0.012253
v -0.010396 -0.083367 -0.013057
v -0.012579 -0.082281 -0.011427
