v -0.006569 -0.083787 -0.012290
v -0.007947 -0.084738 -0.007212
v -0.009611 -0.083534 -0.010738
v -0.007243 -0.085560 -0.009985
v -0.009628 -0.083670 -0.009882
v -0.008851 -0.083906 -0.011638
v -0.005253 -0.084546 -0.010802
v -0.008251 -0.085160 -0.009298
v -0.006517 -0.083779 -0.012284
v -0.009184 -0.083744 -0.011381
v -0.006585 -0.085129 -0.011182
v -0.007218 -0.084952 -0.007630
v -0.009131 -0.084534 -0.008257
v -0.008046 -0.084722 -0.011154
v -0.007634 -0.085462 -0.009114
v -0.006420 -0.083806 -0.012237
v -0.009232 -0.083725 -0.011323
v -0.008241 -0.083861 -0.011914
v -0.006371 -0.085439 -0.010540
v -0.005909 -0.084150 -0.012019
v -0.007507 -0.084847 -0.007339
v -0.009525 -0.084058 -0.008687
v -0.009253 -0.083896 -0.010747
v -0.007826 -0.085385 -0.009734
v -0.008819 -0.084050 -0.011423
v -0.006918 -0.085375 -0.010755
v -0.008800 -0.084713 -0.007615
v -0.007849 -0.084757 -0.007215
v -0.008798 -0.083887 -0.011682
v -0.007060 -0.084089 -0.012103
v -0.005544 -0.084862 -0.010025
v -0.007340 -0.085526 -0.009390
v -0.005653 -0.084121 -0.011891
v -0.007533 -0.085458 -0.009055
v -0.009624 -0.083641 -0.010138
v -0.009546 -0.083824 -0.009348
v -0.008343 -0.085083 -0.009274
v -0.009480 -0.083695 -0.010630
v -0.009302 -0.083882 -0.010584
v -0.009425 -0.083657 -0.011040
v -0.007380 -0.085448 -0.010163
v -0.007831 -0.085425 -0.009323
v -0.008153 -0.085176 -0.009566
v -0.008950 -0.083894 -0.011531
v -0.008814 -0.084014 -0.011516
v -0.007873 -0.085356 -0.009725
v -0.007797 -0.084748 -0.011312
v -0.006628 -0.085476 -0.010565
v -0.008161 -0.085247 -0.009006
v -0.008602 -0.084736 -0.007454
v -0.009266 -0.084405 -0.008003
v -0.005278 -0.084344 -0.011262
v -0.007145 -0.083962 -0.012167
v -0.006169 -0.084621 -0.011671
v -0.006942 -0.083954 -0.012208
v -0.005378 -0.084743 -0.010401
v -0.006421 -0.085429 -0.010219
v -0.007362 -0.084899 -0.007457
v -0.007495 -0.085559 -0.009569
v -0.006231 -0.083906 -0.012158
v -0.007580 -0.085436 -0.008995
v -0.007438 -0.085505 -0.009227
v -0.009627 -0.083660 -0.009985
v -0.009617 -0.083582 -0.010489
v -0.008193 -0.084688 -0.007258
v -0.008295 -0.085103 -0.009386
v -0.008298 -0.085131 -0.009236
